Timestamp,Distance_m,RSSI,ActiveLink,WiFi_Loss,LoRa_Loss,Mode
1760452268.517,0.00,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452269.016,0.00,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452269.517,8.30,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452270.018,16.59,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452270.519,24.89,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452271.020,33.19,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452271.521,41.48,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452272.021,49.78,-50.00,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452272.522,58.08,-57.26,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452273.023,66.37,-58.30,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452273.522,74.67,-59.33,Wi-Fi,0.01,0.05,SINGLE_WIFI
1760452274.022,82.97,-60.37,LoRa,0.01,0.05,DROPPED_BY_IM
1760452274.524,91.26,-61.41,LoRa,0.01,0.05,DROPPED_BY_IM
1760452275.024,99.56,-62.44,LoRa,0.01,0.05,DROPPED_BY_IM
1760452275.525,107.86,-63.48,LoRa,0.01,0.05,DROPPED_BY_IM
1760452276.025,116.15,-64.52,LoRa,0.01,0.05,DROPPED_BY_IM
1760452276.526,124.45,-65.56,LoRa,1.00,0.05,DROPPED_BY_IM
1760452277.027,132.75,-66.59,LoRa,1.00,0.05,DROPPED_BY_IM
1760452277.527,141.04,-67.63,LoRa,1.00,0.05,DROPPED_BY_IM
1760452278.027,149.34,-68.67,LoRa,1.00,0.05,DROPPED_BY_IM
1760452278.528,157.64,-69.70,LoRa,1.00,0.05,DROPPED_BY_IM
1760452279.029,165.93,-70.74,LoRa,1.00,0.05,DROPPED_BY_IM
1760452279.529,174.23,-71.78,LoRa,1.00,0.05,DROPPED_BY_IM
1760452280.030,182.53,-72.82,LoRa,1.00,0.05,DROPPED_BY_IM
1760452280.530,190.82,-73.85,LoRa,1.00,0.05,DROPPED_BY_IM
1760452281.030,199.12,-74.89,LoRa,1.00,0.05,DROPPED_BY_IM
1760452281.530,207.42,-75.93,LoRa,1.00,0.05,DROPPED_BY_IM
1760452282.032,215.71,-76.96,LoRa,1.00,0.05,DROPPED_BY_IM
1760452282.531,224.01,-78.00,LoRa,1.00,0.05,DROPPED_BY_IM
1760452283.031,232.31,-79.04,LoRa,1.00,0.05,DROPPED_BY_IM
1760452283.532,240.60,-80.08,LoRa,1.00,0.05,DROPPED_BY_IM
1760452284.033,248.90,-81.11,LoRa,1.00,0.05,DROPPED_BY_IM
1760452284.532,257.20,-82.15,LoRa,1.00,0.05,DROPPED_BY_IM
1760452285.033,265.49,-83.19,LoRa,1.00,0.05,DROPPED_BY_IM
1760452285.535,273.79,-84.22,LoRa,1.00,0.05,DROPPED_BY_IM
1760452286.034,282.09,-85.26,LoRa,1.00,0.05,DROPPED_BY_IM
1760452286.535,290.38,-86.30,LoRa,1.00,0.05,DROPPED_BY_IM
1760452287.035,298.68,-87.33,LoRa,1.00,0.05,DROPPED_BY_IM
